"id","CE_20_3_high","CE_20_3_low","DG_34_2_high","DG_34_2_low","DG_36_2_high","DG_36_2_low","DG_36_3_high","DG_36_3_low","DG_36_4_high","DG_36_4_low","DGs_high","DGs_low","DTA_high","DTA_low","DTS_high","DTS_low","LPC_16_0_high","LPC_16_0_low","LPC_18_0_high","LPC_18_0_low","LPC_18_1_high","LPC_18_1_low","LPC_18_2_high","LPC_18_2_low","LPC_18_3_high","LPC_18_3_low","LPC_PC_309_high","LPC_PC_309_low","LPC_PC_387_high","LPC_PC_387_low","LPC_PC_high","LPC_PC_low","LPCs_high","LPCs_low","PC_16_0_9_0_CHO_high","PC_16_0_9_0_CHO_low","PC_32_0_high","PC_32_0_low","PC_32_1_high","PC_32_1_low","PC_32_2_high","PC_32_2_low","PC_33_2_high","PC_33_2_low","PC_34_1_high","PC_34_1_low","PC_34_2_high","PC_34_2_low","PC_34_3_high","PC_34_3_low","PC_34_4_high","PC_34_4_low","PC_35_1_high","PC_35_1_low","PC_35_2_high","PC_35_2_low","PC_35_3_high","PC_35_3_low","PC_36_2_high","PC_36_2_low","PC_36_3_A_high","PC_36_3_A_low","PC_36_3_B_high","PC_36_3_B_low","PC_36_4_A_high","PC_36_4_A_low","PC_36_4_C_high","PC_36_4_C_low","PC_36_5_A_high","PC_36_5_A_low","PC_36_5_B_high","PC_36_5_B_low","PC_37_3_high","PC_37_3_low","PC_38_2_high","PC_38_2_low","PC_38_3_K_high","PC_38_3_K_low","PC_38_5_A_high","PC_38_5_A_low","PC_p_34_2_PC_o_34_3_high","PC_p_34_2_PC_o_34_3_low","PC_p_36_3_PC_o_36_4_high","PC_p_36_3_PC_o_36_4_low","PC_p_36_4_PC_o_36_5_high","PC_p_36_4_PC_o_36_5_low","PC_TG_1670_high","PC_TG_1670_low","PC_TG_1671_high","PC_TG_1671_low","PC_TG_1680_high","PC_TG_1680_low","PC_TG_878_high","PC_TG_878_low","PC36_1_high","PC36_1_low","PCs_high","PCs_low","PE_34_2_high","PE_34_2_low","SM_d32_1_high","SM_d32_1_low","SM_d36_1_high","SM_d36_1_low","SMs_high","SMs_low","TG_46_0_high","TG_46_0_low","TG_46_3_high","TG_46_3_low","TG_48_0_high","TG_48_0_low","TG_48_1_high","TG_48_1_low","TG_48_2_high","TG_48_2_low","TG_48_3_high","TG_48_3_low","TG_50_0_high","TG_50_0_low","TG_50_1_high","TG_50_1_low","TG_50_2_high","TG_50_2_low","TG_50_3_high","TG_50_3_low","TG_50_4_high","TG_50_4_low","TG_50_5_high","TG_50_5_low","TG_52_0_high","TG_52_0_low","TG_52_1_high","TG_52_1_low","TG_52_2_high","TG_52_2_low","TG_52_3_high","TG_52_3_low","TG_52_4_high","TG_52_4_low","TG_52_5_high","TG_52_5_low","TG_52_6_high","TG_52_6_low","TG_54_1_high","TG_54_1_low","TG_54_2_high","TG_54_2_low","TG_54_3_high","TG_54_3_low","TG_54_4_high","TG_54_4_low","TG_54_5_high","TG_54_5_low","TG_54_6_high","TG_54_6_low","TG_54_8_high","TG_54_8_low","TG_56_4_high","TG_56_4_low","TGs_high","TGs_low"
"LANMLR17B002",NA,22864.6666666667,NA,120042,NA,NA,NA,4329.33333333333,NA,64996.3333333333,0,189367.666666667,132,50.5,125,54.6666666666667,60334.5,64863.6666666667,NA,7825.33333333333,37252.5,62187.6666666667,2095256.5,1574855.66666667,953515,982120.333333333,2.36565881609566,2.64933003519764,-0.66133204672402,-1.00260534922787,-2.20982925114774,-1.73306076485755,3146358.5,2691852.66666667,NA,16388,15189,52752.6666666667,23341,5843,28700,12265.3333333333,41184,42339.3333333333,229162,169059,4448584,1697992,2460305,2096603.66666667,44411.5,35613.6666666667,NA,NA,56758.5,52845,43329,43275.3333333333,486439,214230,334399,185068,402222,254093.333333333,2422027.5,1335991,NA,10985,3270393,3196228.33333333,14208.5,NA,62844,NA,18909,6739.66666666667,10772,9209.33333333333,11107.5,17826,NA,NA,6754,NA,NA,NA,9.00284312982056,2.701110514191,8.14813084028977,2.96141395073834,8.12318991587248,2.35534542219171,10.352017115177,3.13186785044013,19247.5,13590.3333333333,14431039.5,8882027,302325.5,173284.333333333,1291,8880.33333333333,3333.5,NA,3979,8880.33333333333,NA,14162,NA,NA,3403.5,132496.333333333,2729.5,NA,3563.5,NA,NA,NA,4833,NA,26427.5,11725.6666666667,31920.5,35439.6666666667,23193,NA,NA,NA,14696.5,NA,3930.5,NA,12676,NA,29285.5,17838.3333333333,28650,24634.6666666667,NA,281653.666666667,NA,483989.333333333,9242.5,260261.333333333,NA,NA,7204,6143,27057,10354,75983.5,66115.6666666667,98515,105658.666666667,NA,512352.333333333,NA,1446882,NA,NA,354053.5,3409706.66666667
"LANMLR17B003",NA,8765,7397,122567.333333333,NA,NA,NA,3358.33333333333,3760,101592.333333333,3719,227518,128,54.6666666666667,129.666666666667,54.6666666666667,91080.3333333333,72666.6666666667,4273,5121.33333333333,5458.66666666667,2756.66666666667,154077.666666667,55248.3333333333,57950.6666666667,20193.3333333333,-1.17383777930436,-3.53323017554744,-4.50438309360178,-6.23018036575689,-5.69923598474842,-6.23634881229511,309991.666666667,155986.333333333,5474,9122,28039,61235,26261,31370,34876,35599,38218,100061.333333333,361840.333333333,412876,5021271,1623188.5,3017689.66666667,2008014.33333333,41399.6666666667,41465.6666666667,NA,NA,57754,95511,50711.3333333333,72729.6666666667,385597,554139.333333333,414556.333333333,476472,337633.666666667,622224.333333333,2271400.66666667,1605272.66666667,NA,15952.3333333333,3317571,4013116,26297.5,NA,55935.5,NA,15994.3333333333,16582,14152.5,18633,21268.6666666667,32048.3333333333,NA,NA,4571.66666666667,NA,NA,NA,8.92617483061309,2.65877300454674,8.20155169262,3.2043891993047,7.77937617304016,2.92601927203494,11.2899386756565,5.08410502877408,20486.6666666667,30797,15512735,11304549.6666667,344809,624688,2680.5,6020,5097,NA,5185,6020,NA,6803.66666666667,1461,NA,2544.66666666667,36339.6666666667,3384,NA,3299.5,NA,539,NA,4356,NA,16346.3333333333,15422,24051.6666666667,32134,12891.3333333333,NA,549,NA,4083,NA,2538,NA,9686,NA,14728,19904,12586.6666666667,28888.3333333333,62082,259909,116690,418920.333333333,26592.3333333333,219481.666666667,NA,NA,5783.5,5609,11331.6666666667,9251,25763.6666666667,60990.6666666667,20275,102281.333333333,NA,494577,NA,1290925.33333333,1449,NA,244724,3001437
"LANMLR17B007",NA,19449,14295,178865,NA,3978,NA,6890.5,5896,57125.5,10095.5,155437.5,138,55,140.5,53,170352,89197.5,19285,18967.5,73013,72817,2336624.5,1629264,471353.5,1026487.5,3.47140520919347,2.22505877589756,0.00367697295312037,-0.796327533123488,-1.97830863553355,-2.24161327968497,3060985.5,2836733.5,13999,26854,22935,73174,16580.5,10932,25262.5,21421.5,45620,59596,167042.5,399999.5,4263307.5,3276827.5,1707826,1821913,21646,38179.5,NA,6762,67462,50595,32467.5,42216.5,324559,493460,290175,365819,208492.5,314536.5,2384413,1822485.5,NA,NA,2285409.5,2566474,11485,22299,17003,13945,14344.5,15588.5,7052,21205,7469,15491,NA,NA,11671.5,NA,NA,54221,7.83061849823805,2.98271375171939,6.50303573796957,2.97843824427734,7.01288494426689,2.91827488590702,9.8899560100008,6.32019184938583,13437,29261.5,11921453,11474779,122850,234280,6256,10527,5641,NA,5948.5,5263.5,NA,10714,1297,NA,4490,70224,4239,11830,4495,NA,483,NA,7816,5600,33766.5,161963,25275,106012,11756.5,21094,830,4742,5183,4751,4592,NA,27848,116956,24543,278035.5,10519,260951,76629,485228.5,91620,520235,25675.5,208410,NA,24179,12038,54205,32351.5,121249.5,68984.5,216661,23336,216337,NA,758145,NA,1465640,798,6429,370555,3810346.5
"LANMLR17B011",NA,15662,42249,117730,NA,NA,NA,5824,21960,102011.5,64209,225565.5,133.5,55,133.5,56,80472.5,85776.5,16939.5,8838.5,88557.5,36821,2784522.5,1361212.5,529236.5,506945.5,4.39887070899802,2.22610254192757,1.15230273877997,-1.19094345041908,-1.05364197655478,-2.14114201286561,3499728.5,1999594,7910.5,11929.5,19352.5,87803,3224,8763.5,8901.5,27201,112452,46088.5,55541,277745.5,2331758,1643374,1396391.5,1838943.5,18298,32967.5,NA,NA,44327.5,71521,61176,30243.5,92483.5,266404,125023,347301,128975,284587,1329527.5,1324488.5,NA,15056,1249756.5,2993034.5,NA,NA,NA,NA,3982,9499.5,NA,14364,4642.5,11717,NA,NA,39087.5,NA,NA,NA,2.5949089297049,3.76687642870691,1.85810534198826,3.27654661980588,1.78712836817984,2.78093026669327,7.96828410972144,4.88943365194239,6125,17887.5,7032810,8513817,104130,372702.5,9290.5,7425.5,NA,NA,9290.5,7425.5,NA,9606.5,16236.5,NA,9352,28444,NA,NA,NA,NA,15013.5,NA,NA,NA,10366,9101.5,74517.5,31888,63059.5,NA,14860,NA,49235.5,NA,NA,NA,NA,NA,29472,12493,38459,28699,351616,347318.5,630273.5,480342,440716.5,207385,NA,NA,NA,2907,13523.5,11957,47634,74268,117775,174940,NA,932060.5,NA,1949792,4521.5,NA,1926631.5,4301202
"LANMLR17B012",NA,19500.5,7450,101634,NA,4819,NA,5692.66666666667,6009,47890,13459,122945,145,51.6666666666667,NA,53.3333333333333,138665,65453.3333333333,29755,16892,97453,47140.3333333333,1641950,2092381,213061,1228195.66666667,2.70498552531112,2.74869907267368,4.71080094216377,-0.661592329293777,-1.7842185570171,-1.72475163742508,2120884,3450062.33333333,7542,11170,32601,58200,27056,5772.33333333333,7606,17594,233644,44380.6666666667,122259,316753.333333333,2419256,3723171,1974011,2149005,30742,36420.6666666667,NA,3728,105610,45531.6666666667,190784,35675.6666666667,114887,262999,235678,303262.333333333,251813,301284.666666667,1394103,1757356,NA,15906.5,62700,3278457.66666667,NA,21784,NA,11944,19794,10796.6666666667,NA,10062,33661,16950.6666666667,NA,NA,41253,NA,NA,29323,2.08608148873103,3.10313263077669,1.79264807783336,3.39101795474388,1.29085520397941,3.19812746126653,6.45464025306617,6.99900903832997,20445,21346,7305000,11173296.3333333,117352,396538.333333333,60964,8608.5,NA,NA,60964,5739,NA,11888.5,13284,NA,27583,26017.3333333333,NA,6183,NA,NA,13744,NA,NA,1863,38591,22163.3333333333,108745,72486.3333333333,129948,75170,56218,7451,16915,8800,NA,NA,NA,8501,54836,36237,112982,71361.6666666667,466857,313840,695016,429758.333333333,569782,187525,NA,3220,NA,7982,39050,23879,92707,70590.6666666667,261443,148447,NA,329986,NA,974813,19160,17355,2716861,2268418.66666667
"LANMLR17B013",NA,16142,25039,155471.5,NA,14015,NA,7889.33333333333,12362,69517,18700.5,185725.666666667,133.5,53.3333333333333,142,56.3333333333333,126416.5,80027.3333333333,19290,21325.3333333333,117128.5,62960.3333333333,3062292,2019234.33333333,181116.5,1340052,3.97452922496427,2.35665972484416,2.2553532815948,1.70105283348528,-1.45118326138571,-1.96382009859053,3496598.5,3523599.33333333,9005,16498.6666666667,115335,66832,19277,7568.33333333333,16108.5,20038,425027,47322,164589.5,262625.666666667,3409792.5,3079562,1863960,1869318.66666667,20736,26469.3333333333,NA,6781,83941.5,62334.3333333333,106838,38049.3333333333,197909,431597.666666667,205074,306163.666666667,176641.5,361982.333333333,1674254.5,1692363,NA,11940,1090317,1875502.66666667,22148,25219,33676,16905,22267.5,15268.3333333333,12008,13362,19670.5,13813.6666666667,NA,NA,89545.5,NA,NA,70997,5.09756997712139,3.40631078175326,4.22852837700916,3.18323002594011,4.10865535616373,3.26687509842913,6.77796463754418,5.25447602482162,40046.5,23473,9527189.5,10250145,153306.5,329988.333333333,66755,5942,232485,NA,149620,3961.33333333333,NA,14946,9895,NA,40439.5,101081.333333333,12614,2963,5048,NA,6334,NA,88379,10459,18491.5,29535.6666666667,77451,47226,56489,28093,8055,1290,14401,3826,109109,NA,7367,9654,44630.5,39337,71089.5,39881.3333333333,675709,368451.666666667,611125,482759,184226,164698,NA,7869,13101,10071.6666666667,26121,24049,55222.5,106716.666666667,126642.5,200884,NA,994323.5,NA,1300683,10260,4346,1493702,3122593.66666667
"LANMLR17B018",NA,14955.5,NA,84144.5,NA,7947,NA,5644.33333333333,NA,34338.3333333333,NA,98728,NA,51.6666666666667,NA,51.3333333333333,NA,59100.6666666667,NA,20531.3333333333,NA,87367.3333333333,NA,2065809.66666667,NA,1153347.33333333,NA,3.56788904291806,NA,1.47639605556786,NA,-1.94689939442776,NA,3386156.33333333,NA,15573.3333333333,NA,37078,NA,7701.33333333333,NA,11839,NA,35173,NA,221991.666666667,NA,3350084,NA,2218067.66666667,NA,29182.3333333333,NA,8010,NA,34903.6666666667,NA,12438.6666666667,NA,198608.333333333,NA,290601.333333333,NA,156238,NA,1956252.66666667,NA,NA,NA,2422447.33333333,NA,32189,NA,18816,NA,5515.33333333333,NA,7276,NA,13865.3333333333,NA,NA,NA,NA,NA,45632,NA,3.88493809319549,NA,3.909972724115,NA,3.55628653297763,NA,5.69342857600798,NA,15259,NA,11057294,NA,284948,NA,10165.5,NA,NA,NA,6777,NA,21141.5,NA,NA,NA,79876.6666666667,NA,10606,NA,NA,NA,NA,NA,2589,NA,12036,NA,27823.6666666667,NA,18930,NA,2850,NA,3967,NA,NA,NA,11241,NA,17446,NA,40873.6666666667,NA,328990.333333333,NA,390443.333333333,NA,133616,NA,7342,NA,4989.66666666667,NA,13710,NA,58946.6666666667,NA,174016,NA,618999.5,NA,1139513,NA,1859,NA,2444460
"LANMLR17B019",NA,8341,NA,56078,NA,17101,NA,6768.5,NA,28659.6666666667,NA,76257.6666666667,NA,49.6666666666667,NA,53,NA,207634.333333333,NA,34567,NA,75349.3333333333,NA,2054278.66666667,NA,1461185.33333333,NA,3.08131454458854,NA,2.07508070595624,NA,-1.37640340314004,NA,3833014.66666667,NA,67737.3333333333,NA,31082.3333333333,NA,5581.33333333333,NA,13926.6666666667,NA,80549.3333333333,NA,170431.333333333,NA,3252397.33333333,NA,2103706.33333333,NA,27661.3333333333,NA,3970,NA,42038.3333333333,NA,31719,NA,382289.666666667,NA,200467.666666667,NA,322966.333333333,NA,1715623.66666667,NA,NA,NA,1407694.66666667,NA,30801,NA,19399,NA,13373.3333333333,NA,6905,NA,12452.3333333333,NA,NA,NA,1834,NA,71134,NA,6.11192623537297,NA,6.06135484955418,NA,5.68101853382793,NA,8.49680879627178,NA,19201.6666666667,NA,9926379.33333333,NA,258731.333333333,NA,16272,NA,NA,NA,10848,NA,10782,NA,352,NA,9812.66666666667,NA,8647,NA,NA,NA,649,NA,7003,NA,49523.3333333333,NA,61762.3333333333,NA,16873,NA,4153.5,NA,4643.5,NA,NA,NA,11274,NA,75241.3333333333,NA,112369.333333333,NA,424737,NA,549750,NA,180096.5,NA,8227,NA,26296.5,NA,40367,NA,161158,NA,183715.333333333,NA,515909,NA,1342365,NA,6843.5,NA,2462776.66666667
"LANMLR17B021",2233,15890.6666666667,39187.5,168230.666666667,NA,NA,1967,4978,33182,139226,48902,312434.666666667,130,49,131.666666666667,52,73161.6666666667,145286,6467.5,8837,3193.66666666667,3086.66666666667,139887,103720.666666667,46918,37107.3333333333,-1.44975761867156,-1.98414883471879,-5.18042426279375,-4.80955037803551,-5.89012487432123,-5.05012252156893,267472,298037.666666667,2370.5,5022.66666666667,16077.6666666667,45228,16177.3333333333,3159.66666666667,28492.3333333333,17930,55895,87345,219025,306869.666666667,4497175.5,1773661,2635253,1751641.66666667,37487.3333333333,44173.6666666667,NA,NA,50086.3333333333,68940.3333333333,32206,40355.3333333333,304008.333333333,378398.666666667,317999,389146.666666667,341030,410835,2236321,1563939,NA,17724,4811291,2905855,41811,NA,38108,NA,12787.6666666667,12752.6666666667,10950.5,25284.3333333333,22138.3333333333,29986.3333333333,NA,NA,8430,NA,NA,NA,7.39597901178572,2.93475052001533,6.93530676537524,2.91739901992558,6.68387379370599,2.75474468178218,8.41894112744595,3.21337174374944,14495,20369.6666666667,14175532.6666667,9866432.66666667,457395.666666667,568732.666666667,5645,10960,12879,NA,8056.33333333333,10960,3418,16295,2026,NA,13411.3333333333,192366.666666667,4869,NA,4384,NA,797,NA,28437,NA,5617.33333333333,13174.6666666667,19388,33796.3333333333,17744.5,NA,905,NA,10868.5,NA,23694,NA,6131,NA,9902,21241.6666666667,18154,31301,70530.5,331551.333333333,136455.5,513539,36371,261351,NA,NA,4261.5,7237.66666666667,7625.66666666667,14078.6666666667,20675.3333333333,96293,61004.3333333333,171696.666666667,106751,895362,354466,1679452,1449,NA,531165,4278736.66666667
"LANMLR17B023",NA,14617,NA,114360,NA,NA,NA,8102,NA,94696,0,217158,130,55.5,131.5,56.3333333333333,80762,72075.6666666667,NA,8528,45956.5,31485.6666666667,586018.5,786415.333333333,91515,357601.333333333,0.975274808777387,0.496640886551485,-2.52150615856993,-1.79802585533896,-4.35102893261798,-3.16098535243931,804252,1256106,NA,13415,118574.5,109650,26499,13972,13707,28950.3333333333,32815.5,84601.3333333333,328177,513355.666666667,5217496,1531779,2687967,1502454,29530.5,37703.6666666667,NA,NA,118762.5,99297.6666666667,118578,56205,280743,649169.666666667,436109.5,619514.333333333,283823,530118,2888351.5,1502525.33333333,NA,19740.3333333333,3238923.5,2602793.33333333,16094.5,NA,34506,NA,22515,15035,10616,19649,38435.5,20778,24295,NA,67694.5,NA,NA,NA,9.07500771527564,3.07876581708375,8.1166332602928,3.05490563280659,8.22283848836067,3.0472853755215,7.4393552103915,4.85683219330493,47279,41769,16022066.5,9970706.66666667,293161.5,440333,NA,5397.66666666667,99475,NA,99475,5397.66666666667,NA,9172,NA,NA,45960,67821.3333333333,13149,NA,9457.5,NA,NA,NA,31553,NA,32467,9923.33333333333,49644,36397.6666666667,50563,NA,NA,NA,11858,NA,39368.5,NA,11627,NA,39158,17840.3333333333,54673.5,32526,NA,393167,NA,531648.666666667,13464,238702,NA,NA,9241,4363.33333333333,28218,8657.66666666667,39146,117128.333333333,81855.5,186836.333333333,NA,786935,NA,1035829.66666667,NA,NA,561403,3476948.66666667
