"","GxE_Ross_Ibarra","GxE_Rellan_Alvarez","observed","permuted","pval","FDR","significant"
"cob_wt-LPC_PC_309","cob_wt","LPC_PC_309",9519363,2765412.5865,9.99900009999e-05,0.0055994400559944,"*"
"DTA-LPC_PC_309","DTA","LPC_PC_309",3664260,1751958.6077,0.0004999500049995,0.013998600139986,"*"
"field_wt-PC_36_4_A","field_wt","PC_36_4_A",243305,76316.7599,0.0745925407459254,0.98998100189981,NA
"field_wt-PC_TG_1680","field_wt","PC_TG_1680",243305,76316.7599,0.0745925407459254,0.98998100189981,NA
"field_wt-LPC_PC","field_wt","LPC_PC",384206,157543.0914,0.0883911608839116,0.98998100189981,NA
"field_wt-PC_36_5_B","field_wt","PC_36_5_B",365904,236089.1828,0.203179682031797,1,NA
"field_wt-LPC_18_2","field_wt","LPC_18_2",144002,98480.828,0.261773822617738,1,NA
"field_wt-LPCs","field_wt","LPCs",144002,98480.828,0.261773822617738,1,NA
"grain_wt-PC_36_5_A","grain_wt","PC_36_5_A",157904,159860.4637,0.344665533446655,1,NA
"field_wt-PCs","field_wt","PCs",208004,184857.0372,0.355664433556644,1,NA
"grain_wt-PC_34_3","grain_wt","PC_34_3",224506,229533.9685,0.37006299370063,1,NA
"DTA-PC_36_5_A","DTA","PC_36_5_A",92206,101336.8583,0.384861513848615,1,NA
"grain_wt-LPC_18_2","grain_wt","LPC_18_2",76603,124703.9958,0.449155084491551,1,NA
"grain_wt-LPCs","grain_wt","LPCs",76603,124703.9958,0.449155084491551,1,NA
"cob_wt-DTS","cob_wt","DTS",645108,705582.6127,0.488251174882512,1,NA
"grain_wt-PCs","grain_wt","PCs",166105,234463.1996,0.493950604939506,1,NA
"DTA-PCs","DTA","PCs",97207,147102.2694,0.52014798520148,1,NA
"DTA-PC_34_3","DTA","PC_34_3",92206,144858.6189,0.530546945305469,1,NA
"DTA-PC_36_4_A","DTA","PC_36_4_A",5001,60815.6196,0.578842115788421,1,NA
"DTA-PC_TG_1680","DTA","PC_TG_1680",5001,60815.6196,0.578842115788421,1,NA
"field_wt-DTA","field_wt","DTA",972512,1130592.5875,0.598340165983402,1,NA
"cob_wt-PC_36_5_A","cob_wt","PC_36_5_A",73403,161305.3345,0.611838816118388,1,NA
"grain_wt-PC_36_4_A","grain_wt","PC_36_4_A",8201,98775.3408,0.643035696430357,1,NA
"grain_wt-PC_TG_1680","grain_wt","PC_TG_1680",8201,98775.3408,0.643035696430357,1,NA
"grain_wt-LPC_PC","grain_wt","LPC_PC",76603,199977.9835,0.646135386461354,1,NA
"cob_wt-PC_36_4_A","cob_wt","PC_36_4_A",12102,95912.7595,0.648435156484352,1,NA
"cob_wt-PC_TG_1680","cob_wt","PC_TG_1680",12102,95912.7595,0.648435156484352,1,NA
"cob_wt-LPC_18_2","cob_wt","LPC_18_2",27401,121179.2751,0.672432756724328,1,NA
"cob_wt-LPCs","cob_wt","LPCs",27401,121179.2751,0.672432756724328,1,NA
"cob_wt-PC_34_3","cob_wt","PC_34_3",100804,229764.9966,0.679132086791321,1,NA
"field_wt-PC_34_3","field_wt","PC_34_3",68621,181464.7989,0.703629637036296,1,NA
"DTA-PC_35_2","DTA","PC_35_2",772034,1034422.2215,0.723527647235277,1,NA
"cob_wt-DTA","cob_wt","DTA",1034816,1415818.2072,0.742725727427257,1,NA
"cob_wt-PCs","cob_wt","PCs",78804,234387.1452,0.74982501749825,1,NA
"cob_wt-LPC_PC","cob_wt","LPC_PC",45303,197941.1047,0.77952204779522,1,NA
"grain_wt-PC_35_2","grain_wt","PC_35_2",1037629,1647078.2019,0.827417258274173,1,NA
"DTA-PC_36_5_B","DTA","PC_36_5_B",15401,187330.4199,0.895310468953105,1,NA
"DTA-DTS","DTA","DTS",104105,446092.8307,0.950804919508049,1,NA
"grain_wt-DTA","grain_wt","DTA",478713,1431223.2604,0.982701729827017,1,NA
"DTA-TG_52_4","DTA","TG_52_4",110602,602048.4254,0.985701429857014,1,NA
"grain_wt-TG_52_4","grain_wt","TG_52_4",178404,957293.492,0.990500949905009,1,NA
"cob_wt-PC_35_2","cob_wt","PC_35_2",557822,1620869.878,0.991300869913009,1,NA
"DTA-DTA","DTA","DTA",197407,896592.0352,0.994000599940006,1,NA
"field_wt-PC_35_2","field_wt","PC_35_2",333305,1298758.336,0.996400359964004,1,NA
"grain_wt-LPC_PC_309","grain_wt","LPC_PC_309",1062626,2798231.1366,0.996400359964004,1,NA
"grain_wt-DTS","grain_wt","DTS",20001,713848.6675,0.998900109989001,1,NA
"field_wt-LPC_PC_309","field_wt","LPC_PC_309",690927,2213730.3634,0.999700029997,1,NA
"cob_wt-PC_36_5_B","cob_wt","PC_36_5_B",0,292017.3113,1,1,NA
"cob_wt-TG_52_4","cob_wt","TG_52_4",0,948217.7346,1,1,NA
"DTA-LPC_18_2","DTA","LPC_18_2",0,77857.267,1,1,NA
"DTA-LPC_PC","DTA","LPC_PC",0,126442.6734,1,1,NA
"DTA-LPCs","DTA","LPCs",0,77857.267,1,1,NA
"field_wt-DTS","field_wt","DTS",0,562459.8323,1,1,NA
"field_wt-PC_36_5_A","field_wt","PC_36_5_A",0,127107.6779,1,1,NA
"field_wt-TG_52_4","field_wt","TG_52_4",0,757267.6846,1,1,NA
"grain_wt-PC_36_5_B","grain_wt","PC_36_5_B",0,291809.5864,1,1,NA
