ROW,FIELD,id,acylcarnitine_15_3,BMP_37_7_15_1_22_6,CerNS_38_3_d18_2_20_1,CSH_posESI_004,CSH_posESI_022,CSH_posESI_027,CSH_posESI_041,CSH_posESI_288,CSH_posESI_296,DG_34_3_16_0_18_3,DG_34_4_16_1_18_3,DG_36_4,DG_36_4_18_2_18_2,DG_36_5_18_2_18_3,DG_36_6_18_3_18_3,DGDG_32_0_16_0_16_0,DGDG_32_1_16_0_16_1,DGDG_33_3_15_0_18_3,DGDG_34_1_16_0_18_1,DGDG_34_2_16_0_18_2,DGDG_34_4_16_1_18_3,DGDG_34_4_16_1_18_3,DGDG_34_5_16_2_18_3,DGDG_35_3_17_0_18_3,DGDG_35_5_17_2_18_3,DGDG_35_6_17_2_18_4,DGDG_36_2_18_0_18_2,DGDG_36_4_18_1_18_3,DGDG_38_5_20_1_18_4,DGDG_38_6_18_3_20_3,GlcCerNS_34_3_d18_2_16_1,GlcCerNS_36_3_d18_2_18_1,GlcCerNS_38_3_d18_2_20_1,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3 ,lysoPE_18_2,lysoPE_18_3,MGDG_34_1_16_0_18_1,MGDG_34_2_16_0_18_2,MGDG_34_3_16_0_18_3,MGDG_34_4_16_1_18_3,MGDG_34_6_16_3_18_3,MGDG_35_3_17_0_18_3,MGDG_36_3_18_0_18_3,MGDG_36_3_18_1_18_2,MGDG_36_6_18_2_18_4,MGDG_36_6_18_3_18_3,MGDG_36_7_18_3_18_4,MGDG_38_5_20_2_18_3,MGDG_38_6_18_3_20_3,PC_16_0_9_0_CHO ,PC_32_1,PC_32_2,PC_33_2,PC_34_0 ,PC_34_1,PC_34_3,PC_34_4,PC_35_1,PC_35_2,PC_36_1,PC_36_2 ,PC_36_3_A ,PC_36_3_B ,PC_36_4_A,PC_36_4_B ,PC_36_5_A ,PC_36_6_18_2_18_4,PC_36_6_18_3_18_3,PC_38_2,PC_38_3 ,PC_38_4_18_2_20_2,PC_38_5_A ,PE_32_0_16_0_16_0,PE_34_2,PE_36_3_18_0_18_3,PE_36_5_18_2_18_3,PE_36_6_18_3_18_3,PG_32_0_16_0_16_0,PG_32_1_16_0_16_1,PG_34_2_16_0_18_2,PG_34_4_16_0_18_4,PG_34_5_16_1_18_4,PG_36_7_18_3_18_4,plasmenylPC_35_2_P14_0_21_2,plasmenylPC_36_2_P14_0_22_2,SM_39_10_d17_3_22_7,SM_39_9_d16_3_23_6,SM_40_4_d16_2_24_2,SM_40_5_d16_1_24_4,SQDG_34_2_16_0_18_3,SQDG_34_3_16_1_18_3,SQDG_36_2_18_0_18_3,SQDG_36_4_18_2_18_3,SQDG_38_5_18_3_20_3,SQDG_42_1_16_0_16_0,SQDG_45_1_18_2_18_2,TG_49_2 ,TG_50_2,TG_50_3,TG_50_4 ,TG_50_5,TG_52_3 ,TG_52_4,TG_52_5 ,TG_52_6,TG_53_4 ,TG_53_5 ,TG_54_1 ,TG_54_2,TG_54_4 ,TG_54_4 ,TG_54_5,TG_54_8,TG_56_2 ,TG_58_14_19_5_19_5_20_4
2025,high,LANMLR17B095,368873,22593,33699,22105,31398,289228,66128,21415,25481,134137,16308,17066,128507,270439,185988,260453,7021,9663,80641,725493,37445,42127,11911,74247,9355,26220,108789,242931,33402,100710,70510,185748,290218,90575,13297,152267,1689743,632990,49645,16744,18321,201335,1017549,56131,11193,32961,133597,44736,41638,443518,39001,41973,61960,27569,23096,33194,63266,11287,663741,2589343,53819,10918,99237,28436,597317,538283,481639,2828767,5893,2990058,42331,791617,20969,39665,72907,18618,71440,486614,15978,108634,20930,152993,218201,486008,766831,13941,3837,20450,676811,42950,21067,29004,31960,2567766,15540,171810,1819396,12016,1298014,199156,5494,279584,105344,13534,16984,9597,735962,1073625,19476,10773,11982,14810,2193,119618,12666,177018,1187647,9394,18648
2026,high,LANMLR17B027,262108,19875,36899,16749,33081,570978,87545,19997,21027,165602,23212,19754,143658,396353,511784,235760,6710,8934,72239,464737,29076,38848,10141,77755,10742,34283,94155,202898,17949,116698,56032,193728,313352,76758,7952,162947,3617498,1077088,48662,12426,16039,167472,937303,49397,37287,33769,104879,36063,45368,566047,36905,31544,76408,22866,20439,24796,82883,8375,591276,2064239,49932,10696,87985,26409,504281,447447,403864,2237962,5531,2623816,34056,720712,18181,36021,62145,18498,124855,399872,12866,93192,22773,153607,200313,392839,1046409,14263,5292,23733,723511,28252,21985,9045,22267,2701483,13083,155372,849718,15850,1215894,122167,4961,258551,100461,18352,36858,9774,652502,1000178,20196,8034,9348,17535,2060,106962,10758,158126,1156335,6340,18750
2027,high,LANMLR17B090,450138,23828,26605,13404,20129,275051,73872,20067,16566,122745,15217,15946,103438,184361,143552,234680,8791,13302,80574,312929,13781,29279,4408,72562,6737,20879,97483,134364,16314,88978,41122,101832,202846,38068,7497,175181,2104782,697950,53898,14295,16483,169024,898990,45327,23674,33319,87898,44235,55710,489452,27850,29045,55493,32428,25635,36024,79315,9345,771645,3015534,56805,10809,110972,30423,652419,661423,497581,3892373,22604,3852278,60678,1080094,18819,44187,75757,15893,32778,525311,10120,120148,24270,154698,205327,442079,1051454,22192,3520,11554,476457,26524,20750,7895,27183,2092986,13268,91556,645909,8159,1123906,104504,7692,318366,88082,11201,23724,10140,586341,855346,13062,9686,12103,20229,2543,104346,11200,154544,1060887,8733,20940
2028,high,LANMLR17B108,316950,18318,34132,19004,29793,336664,78810,18628,23806,142429,19278,25344,168534,461841,312593,243308,6183,10290,93184,857420,21980,36335,8477,70373,10404,26561,111747,219844,11231,99529,57963,186755,296537,92163,13620,170777,2751365,686127,46693,11161,12958,221705,1092056,54631,30490,41394,109347,44577,37455,427194,33650,28291,57346,23091,19427,31496,68802,7367,611654,2244046,50149,10569,100608,24899,538794,496634,423594,2469763,15540,2781321,38872,736916,14525,34866,60969,15843,97881,425431,15701,99680,18504,142871,176319,353533,956941,12815,3611,21902,690008,21667,8283,12489,27237,2644808,11621,140008,742061,12978,1186778,122547,5529,250490,118474,21013,38237,13989,919641,1330326,23956,12188,14057,14025,1939,134965,14831,248196,1629499,6599,17055
2029,high,LANMLR17B011,376012,20000,37568,18595,23708,459387,96935,21058,29403,135909,18955,14093,112555,334283,280045,301886,6731,8714,73145,556747,32944,37831,8728,77622,11207,31427,95572,186890,18726,107920,65501,202433,312152,78271,11666,153214,3084554,1114949,53629,12536,15681,167400,1035843,61895,34916,41409,126498,37312,54204,430437,39565,30599,69545,24600,23045,33207,60741,6225,596735,2427301,50119,10695,100343,27366,526585,478562,466343,2301838,14609,2859469,38993,861613,19249,37652,65503,17202,150878,433365,16388,106744,22551,148921,201971,379643,955056,17884,5823,24593,726955,29374,20420,9980,28455,2758865,14712,167014,857044,14361,1464202,111700,7253,258808,87768,10823,28970,9928,572444,890626,15369,10267,11298,13847,2071,100744,10643,154387,1230769,7399,18432
2031,high,LANMLR17B114,739230,30269,46148,20219,24733,355164,81340,25705,33626,163777,17636,15314,148209,244262,186927,257855,10915,21947,99133,374842,20144,43056,3602,84940,691,26123,125560,141566,19091,99862,64775,237219,364107,45541,10439,168306,1896078,750722,62068,18676,23504,209259,848474,60692,27918,34060,117025,48913,62290,598794,41605,30468,51346,30728,29779,37397,94745,9259,909262,2213174,61233,14221,115795,39261,781876,582589,560193,2220966,8550,2841459,35275,856641,24012,54166,83111,15742,39163,572558,9660,127709,30185,193785,241062,466793,953102,20101,10384,23052,845161,39999,25928,9966,28731,1890469,16251,106722,763518,12661,980318,126412,10732,396045,151183,15452,34401,15439,897355,1210551,28042,12213,15043,22456,3162,163756,17876,252696,1504617,9539,26788
2032,high,LANMLR17B007,521551,36266,33440,17160,25317,241130,48028,20785,30352,96196,17065,12024,91414,195810,91362,212533,7798,8010,71001,527246,31530,35791,8769,84265,9368,26536,101298,173959,9991,85127,58625,195673,313162,276348,25941,187030,2756944,730544,51079,15142,11725,174576,883563,50813,31166,43280,117163,24604,32107,387132,33549,24285,47302,29786,33806,48789,53060,9276,621540,2796037,52683,11015,132482,33288,664977,632501,520701,3713971,8171,3897780,41313,884479,21465,35275,79348,16207,34680,476992,19773,103764,18701,144873,209955,377655,1232981,24667,11353,20722,734663,56005,18277,17584,24972,2202298,12672,154214,707039,11161,954325,109486,6098,225813,70233,10303,13052,8711,487806,682852,9761,8181,8976,12181,1790,89231,9369,125865,847803,5777,15106
2033,high,LANMLR17B029,527520,18599,38983,14632,33570,298307,77774,19438,29304,136075,23860,17805,124391,424985,644247,230696,6173,9633,69757,546338,33141,39760,9894,76146,10409,28421,94235,195761,17148,106053,66837,209597,334701,116747,13777,130599,3593315,1178417,55946,16815,14635,162686,955614,53527,38143,37936,102739,36362,59367,585762,48784,29993,69635,15696,19764,26369,69467,7572,569365,1912395,48131,10394,84632,24060,501264,395349,388017,2051684,5258,2556434,32785,719961,16870,35428,59794,17394,149619,418678,14771,98939,24874,134109,189532,347557,1132646,12903,12594,26623,782331,22969,20150,13402,20868,2533728,17308,156814,844330,16157,1079133,114813,6999,245308,81071,10765,27647,9315,600912,944718,19589,9385,9417,15335,1944,96083,10303,148585,1603508,7140,17196
2034,high,LANMLR17B118,261805,20331,28822,9076,16422,346972,103957,20666,21489,104557,12879,7859,83211,178178,150917,353006,6907,18967,76171,583227,39222,38744,8603,87335,11828,28106,94842,196668,19601,133133,53473,149332,243063,66356,10365,136493,2674533,1070246,54341,14263,13779,180259,1370386,57242,37269,47433,123514,43827,80363,501417,51006,33800,113531,22273,22570,31254,72635,8540,658020,2557569,53807,9924,94114,25737,569906,509582,472107,2415997,5802,3052542,42610,883702,15067,37579,66400,18865,15820,484835,14325,124662,21539,141704,205415,383426,1068809,16174,9081,18616,567127,22260,22561,18957,26831,3035747,14741,202318,793153,18600,1674942,113105,6639,268070,80366,10867,16270,9304,505316,756571,11870,8010,10058,14569,2136,87511,9390,123955,912940,6579,17771
2035,high,LANMLR17B013,414751,27691,37582,11370,17950,364798,169390,24042,25389,132072,18887,11336,99546,161482,143807,332411,10612,14973,93441,645436,25499,39959,7661,79851,9289,23554,122186,153101,19328,92059,58252,217460,300946,50598,8721,147132,1967896,700851,57161,16943,20865,213481,1153133,60742,26795,39507,128215,50809,61542,572767,41800,27335,55794,22357,27362,34754,110896,8432,840942,2122467,56629,13484,112642,35794,726121,545054,518666,2065869,7880,2625173,32980,796671,21971,48243,74932,18606,132148,530354,15864,118568,27723,185659,245997,461001,1004491,18452,4211,22973,705168,21803,22319,9899,25511,2951945,15269,172979,821616,5485,1490822,134089,9196,364325,113059,15057,22084,12863,766618,1047694,9578,10006,14001,20789,2904,127027,13047,184637,1191414,9745,24734
