"chrom","start","end","GeneCount","unlist(genhits)","CHR","BP","P"
"chr5",66097550,66176050,1,"Zm00001d014864","chr5",66136131,3.68040512897929e-16
"chr3",7736050,7797550,3,"Zm00001d039542;Zm00001d039544;Zm00001d039545","chr3",7737127,4.6219123914355e-13
"chr5",66200350,66222950,1,"Zm00001d014866","chr5",66221314,6.12422259829631e-13
"chr3",175976050,176035950,1,"Zm00001d042667","chr3",176035749,6.65463056368427e-13
"chr3",193678850,193692350,3,"Zm00001d043260;Zm00001d043261;Zm00001d043262","chr3",193690469,2.7789293240476e-12
"chr1",146729450,146764250,1,"Zm00001d030590","chr1",146742251,3.14983921883066e-12
"chr9",110884150,110916850,1,"Zm00001d046922","chr9",110886474,1.22970194827458e-11
"chr10",150738750,150828750,2,"Zm00001d026709;Zm00001d026711","chr10",150827763,1.35521523075568e-11
"chr2",76245050,76579250,3,"Zm00001d004023;Zm00001d004024;Zm00001d004025","chr2",76578549,3.03571430017111e-11
"chr3",81364250,81525450,1,"Zm00001d040941","chr3",81372779,3.50747861296566e-11
"chr5",66262750,66321950,1,"Zm00001d014867","chr5",66266271,5.82834887238317e-11
"chr2",77933650,78074250,0,"","chr2",78045022,6.02249159864449e-11
"chr3",134648550,134688250,3,"Zm00001d041713;Zm00001d041714;Zm00001d041715","chr3",134685396,6.43517096351088e-11
"chr3",125292650,125327050,1,"Zm00001d041515","chr3",125325147,7.91679166881041e-11
"chr10",150497250,150559850,1,"Zm00001d026706","chr10",150558799,9.16665126459646e-11
"chr3",80853150,80907650,1,"Zm00001d040937","chr3",80853180,9.35978867891402e-11
"chr5",136850250,136907150,0,"","chr5",136880199,9.9901805156322e-11
"chr10",64671750,64684650,1,"Zm00001d024325","chr10",64684553,1.0418374382692e-10
"chr3",80530050,80715850,0,"","chr3",80623617,1.17866608016672e-10
"chr2",76579250,76698150,1,"Zm00001d004025","chr2",76580612,1.91510500759739e-10
"chr3",123898050,124143350,2,"Zm00001d041495;Zm00001d041496","chr3",124142123,4.1334065953393e-10
"chr3",82241850,82265250,0,"","chr3",82241904,4.55720432881998e-10
"chr10",99815550,99881850,2,"Zm00001d025016;Zm00001d025017","chr10",99821698,5.20074068431831e-10
"chr3",83605950,83693150,0,"","chr3",83693139,5.26067738158577e-10
"chr1",172642250,172718150,1,"Zm00001d030998","chr1",172712406,5.30957568094617e-10
"chr10",64641250,64671750,1,"Zm00001d024325","chr10",64670530,5.95949503503171e-10
"chr3",81223150,81285550,0,"","chr3",81251728,6.21770601323473e-10
"chr2",88234450,88262650,0,"","chr2",88253534,6.25957258668099e-10
"chr3",126143250,126167250,1,"Zm00001d041537","chr3",126149065,7.37713094934654e-10
"chr6",52786850,53056450,2,"Zm00001d035818;Zm00001d035819","chr6",52788956,7.7292165841528e-10
"chr3",81525450,81776350,1,"Zm00001d040947","chr3",81769572,7.90529147398669e-10
"chr2",78074250,78135750,0,"","chr2",78135605,8.24171782461841e-10
"chr10",150429250,150497250,4,"Zm00001d026702;Zm00001d026703;Zm00001d026704;Zm00001d026705","chr10",150497220,1.11099305034854e-09
"chr10",55228450,55245050,0,"","chr10",55243955,1.26584953793353e-09
"chr3",125123650,125292650,2,"Zm00001d041514;Zm00001d041515","chr3",125125141,1.45408868250485e-09
"chr1",159431350,159522950,1,"Zm00001d030782","chr1",159434051,1.5150835525623e-09
"chr10",115501250,115519350,2,"Zm00001d025358;Zm00001d025359","chr10",115506091,1.66446652218927e-09
"chr3",54970450,55011350,0,"","chr3",54997082,2.04981805349284e-09
"chr3",81776350,81850050,0,"","chr3",81846917,2.37805033706918e-09
"chr7",108902050,108918850,0,"","chr7",108914065,2.94863563460634e-09
"chr5",111491550,111558950,0,"","chr5",111536130,3.14021804209267e-09
"chr5",137086850,137127550,1,"Zm00001d015988","chr5",137087183,3.18530734790084e-09
"chr1",64855250,64901250,1,"Zm00001d029288","chr1",64858207,3.2081249860497e-09
"chr5",136923650,137086850,3,"Zm00001d015986;Zm00001d015987;Zm00001d015988","chr5",136931040,3.34854477928761e-09
"chr5",111558950,111739750,1,"Zm00001d015717","chr5",111562743,3.42151343653785e-09
"chr5",111739750,111776150,0,"","chr5",111755533,3.64579322985777e-09
"chr5",154575550,154647850,1,"Zm00001d016262","chr5",154575881,3.91236598051246e-09
"chr3",83693150,83811950,0,"","chr3",83811872,4.03445948389061e-09
"chr8",113482450,113585050,1,"Zm00001d010411","chr8",113492133,4.50834135189586e-09
"chr2",80841450,80893950,2,"Zm00001d004081;Zm00001d004083","chr2",80853456,4.62175470243536e-09
"chr3",134517550,134552450,1,"Zm00001d041711","chr3",134551125,4.79269646251629e-09
"chr1",50182350,50197050,1,"Zm00001d028901","chr1",50192545,4.79592197834245e-09
"chr5",209068350,209075450,1,"Zm00001d017860","chr5",209071112,5.37881642236712e-09
"chr3",125102650,125123650,2,"Zm00001d041513;Zm00001d041514","chr3",125123223,6.06373413980431e-09
"chr1",50748350,50792450,1,"Zm00001d028910","chr1",50778433,7.34489132639156e-09
"chr1",248362950,248436850,1,"Zm00001d033044","chr1",248433108,8.30571197648193e-09
"chr3",220966150,221007850,1,"Zm00001d044169","chr3",220967762,8.73449761200165e-09
"chr5",104994850,105077250,1,"Zm00001d015670","chr5",105053891,9.01284555264234e-09
"chr3",80715850,80853150,2,"Zm00001d040936;Zm00001d040937","chr3",80853024,9.26888799259185e-09
"chr3",52435550,52599350,1,"Zm00001d040599","chr3",52599246,9.34185834278469e-09
"chr3",124672750,124713050,1,"Zm00001d041506","chr3",124713028,9.34901804767521e-09
"chr6",47327550,47418050,1,"Zm00001d035773","chr6",47328959,1.04335206844471e-08
"chr6",55726850,55818950,1,"Zm00001d035848","chr6",55728156,1.06448636532296e-08
"chr6",46326950,46546950,4,"Zm00001d035763;Zm00001d035764;Zm00001d035765;Zm00001d035766","chr6",46473474,1.25077664281003e-08
"chr5",188750050,188786750,0,"","chr5",188785885,1.26012686430135e-08
"chr2",190599750,190604450,0,"","chr2",190601840,1.27014837199575e-08
"chr10",97177950,97204750,1,"Zm00001d024966","chr10",97204489,1.27516703794921e-08
"chr3",82050450,82097750,0,"","chr3",82059365,1.2811987599376e-08
"chr3",126045650,126107550,3,"Zm00001d041531;Zm00001d041533;Zm00001d041534","chr3",126107070,1.30266487192377e-08
"chr1",70443550,70492150,1,"Zm00001d029437","chr1",70447817,1.30844362090717e-08
"chr5",136655050,136746850,1,"Zm00001d015984","chr5",136655401,1.33600593427507e-08
"chr3",79953250,80221450,1,"Zm00001d040930","chr3",79995213,1.34657803669178e-08
"chr1",148122550,148214750,2,"Zm00001d030606;Zm00001d030609","chr1",148168265,1.43336809093125e-08
"chr2",77319850,77476750,1,"Zm00001d004033","chr2",77476338,1.5502432264356e-08
"chr2",38403850,38416650,1,"Zm00001d003268","chr2",38416081,1.57914410535146e-08
"chr3",84305650,84443650,0,"","chr3",84443353,1.60866518499047e-08
"chr3",134688250,134767450,2,"Zm00001d041715;Zm00001d041716","chr3",134689354,1.60987862076138e-08
"chr3",144256650,144358150,1,"Zm00001d041935","chr3",144357836,1.61359072335418e-08
"chr6",58272350,58300850,3,"Zm00001d035878;Zm00001d035879;Zm00001d035880","chr6",58283561,1.63451516916516e-08
"chr3",206193250,206206450,2,"Zm00001d043661;Zm00001d043662","chr3",206200282,1.63967063114695e-08
"chr7",174699850,174715850,2,"Zm00001d022295;Zm00001d022296","chr7",174703555,1.89124831873007e-08
"chr3",192963450,192996750,1,"Zm00001d043243","chr3",192963860,1.94889992754895e-08
"chr3",83987350,84173150,0,"","chr3",84120723,1.9873869410237e-08
"chr1",167675950,167697550,2,"Zm00001d030933;Zm00001d030934","chr1",167679211,2.14687841300474e-08
"chr2",77014950,77319850,0,"","chr2",77319733,2.15154533912041e-08
"chr3",82312450,82394250,2,"Zm00001d040952;Zm00001d040953","chr3",82338753,2.19201633719299e-08
"chr9",110693550,110815350,2,"Zm00001d046919;Zm00001d046921","chr9",110797860,2.25909616183549e-08
"chr1",145823250,145994150,1,"Zm00001d030579","chr1",145824263,2.30322011741937e-08
