"seqnames","start","end","width","strand","chr","trait","lod","component","bar","nbar"
"1",304670153,306461947,1791795,"*","1","CE_20_3",4.65038891460819,1,1,1
"2",195426711,211471335,16044625,"*","2","PC_37_3",10.6013065830437,2,2,1
"3",2758680,11847039,9088360,"*","3","LPCs",7.82377731786653,3,3,1
"3",2758680,11847039,9088360,"*","3","LPC_18_2",7.3946976812116,3,4,2
"3",2758680,11847039,9088360,"*","3","PC_35_2",3.92164910252239,3,5,3
"3",2758680,11847039,9088360,"*","3","PC_36_3_A",3.53068702311288,3,6,4
"3",2758680,11847039,9088360,"*","3","PC_36_5_A",4.83232487149672,3,7,5
"3",2758680,11847039,9088360,"*","3","modPC1",8.42584128419179,3,8,6
"3",2758680,11847039,9088360,"*","3","modPC1_modPC2",4.98539648502853,3,9,7
"3",4731447,11847039,7115593,"*","3","PC_34_4",6.19633901664946,3,10,8
"3",4731447,11847039,7115593,"*","3","PC_38_3_K",5.02755938486951,3,11,9
"4",228954967,242560059,13605093,"*","4","LPCs",3.97302037515828,4,12,1
"4",228954967,242560059,13605093,"*","4","LPC_18_2",4.05600819600716,4,13,2
"5",195394721,212239816,16845096,"*","5","PC36_1",3.60416855793926,5,14,1
