"seqnames","start","end","width","strand","chr","trait","lod","component","bar","nbar"
"2",360266,6641790,6281525,"*","2","PC_36_4_A",3.24823714596727,1,1,1
"2",218319483,221782921,3463439,"*","2","PC_37_3",10.8371720649324,2,2,1
"3",2758680,11847039,9088360,"*","3","PC_34_2",3.19845776151521,3,3,1
"3",2758680,11847039,9088360,"*","3","PC_36_5_A",6.04150001932459,3,4,2
"3",2758680,48602837,45844158,"*","3","LPCs",4.15905677895114,3,5,3
"3",2758680,48602837,45844158,"*","3","LPC_18_2",4.60807593234279,3,6,4
"4",235782723,242560059,6777337,"*","4","PC_36_5_A",3.21704485586309,4,7,1
"7",151102114,164331890,13229777,"*","7","PC_36_5_A",3.18122054060291,5,8,1
"7",151102114,172341845,21239732,"*","7","LPCs",3.79498210095232,5,9,2
"7",155261928,172341845,17079918,"*","7","LPC_18_2",3.71080437263595,5,10,3
"8",128604328,169048082,40443755,"*","8","DTS",4.53714568170021,6,11,1
"9",10516242,65718804,55202563,"*","9","PC_35_2",3.71954528511822,7,12,1
"9",11352467,65718804,54366338,"*","9","TG_52_4",4.40998465388179,7,13,2
