"chrom","start","end","GeneCount","unlist(genhits)","CHR","BP","P"
"chr3",193688450,193692250,2,"Zm00001d043261;Zm00001d043262","chr3",193690469,5.80671404190878e-28
"chr3",175975950,176035850,1,"Zm00001d042667","chr3",176035749,6.80748275661519e-28
"chr10",41246650,41308450,0,"","chr10",41258348,8.63088057017581e-23
"chr6",48375250,48491350,1,"Zm00001d035783","chr6",48490263,2.01584830198525e-22
"chr6",94188950,94224450,1,"Zm00001d036602","chr6",94217202,2.80266753970125e-21
"chr4",6178450,6200150,0,"","chr4",6184494,3.26355465387033e-20
"chr5",66028750,66136150,1,"Zm00001d014864","chr5",66136131,3.27929527684159e-20
"chr1",64855250,64901050,1,"Zm00001d029288","chr1",64858207,4.04900714215492e-20
"chr10",114980650,115120750,2,"Zm00001d025346;Zm00001d025347","chr10",115120443,6.14485028511541e-20
"chr6",49172150,49366050,1,"Zm00001d035789","chr6",49362130,1.41329973185453e-19
"chr1",172638050,172718950,1,"Zm00001d030998","chr1",172712552,1.52650938549859e-19
"chr1",172583450,172638050,1,"Zm00001d030997","chr1",172611398,2.02815414545485e-19
"chr9",110884250,110887350,0,"","chr9",110886474,2.44409780972143e-19
"chr4",137258550,137504150,6,"Zm00001d051020;Zm00001d051021;Zm00001d051022;Zm00001d051023;Zm00001d051025;Zm00001d051026","chr4",137487650,5.63992216778683e-19
"chr1",173096850,173139350,1,"Zm00001d031008","chr1",173136784,6.23368397464388e-19
"chr9",108769550,108813150,3,"Zm00001d046881;Zm00001d046882;Zm00001d046883","chr9",108788016,7.65602793413702e-19
"chr10",150497350,150559850,1,"Zm00001d026706","chr10",150558799,1.62744276282041e-18
"chr8",126880850,126891850,3,"Zm00001d010752;Zm00001d010753;Zm00001d010754","chr8",126885610,2.30494242261127e-18
"chr10",150791150,150828950,1,"Zm00001d026711","chr10",150827693,2.35856139817228e-18
"chr6",57868850,57910250,2,"Zm00001d035871;Zm00001d035872","chr6",57904399,2.5829253402742e-18
"chr1",462250,561350,2,"Zm00001d027256;Zm00001d027257","chr1",560842,3.47467735746947e-18
"chr6",46888750,46940550,1,"Zm00001d035772","chr6",46918801,4.12177873329911e-18
"chr6",57524650,57600650,0,"","chr6",57544782,5.38728294203421e-18
"chr1",173184450,173303950,1,"Zm00001d031009","chr1",173188368,9.03642515185915e-18
"chr4",42983050,43098150,2,"Zm00001d049748;Zm00001d049750","chr4",43097627,9.41720196619788e-18
"chr4",43243350,43392650,2,"Zm00001d049757;Zm00001d049759","chr4",43385798,9.84583409784519e-18
"chr1",247400050,247433650,1,"Zm00001d033021","chr1",247429762,1.309969130268e-17
"chr1",152898850,153023850,4,"Zm00001d030685;Zm00001d030686;Zm00001d030687;Zm00001d030688","chr1",152992146,1.60714232267835e-17
"chr6",55726850,55824550,1,"Zm00001d035848","chr6",55728156,1.7213147895342e-17
"chr10",150151050,150184350,1,"Zm00001d026696","chr10",150180204,2.14000200616812e-17
"chr10",41081150,41085550,1,"Zm00001d024066","chr10",41084819,2.28590421398687e-17
"chr3",7736050,7806650,3,"Zm00001d039542;Zm00001d039544;Zm00001d039545","chr3",7737138,2.95992899268279e-17
"chr6",54187150,54425650,2,"Zm00001d035835;Zm00001d035838","chr6",54257736,3.0119986413953e-17
"chr5",199055650,199058050,1,"Zm00001d017539","chr5",199057194,3.31686856181156e-17
"chr3",125101750,125123550,2,"Zm00001d041513;Zm00001d041514","chr3",125123223,4.73106225032619e-17
"chr6",46433250,46547250,0,"","chr6",46473474,4.85712702899316e-17
"chr3",123995550,124143450,2,"Zm00001d041495;Zm00001d041496","chr3",124142123,1.00828149021266e-16
"chr3",193569550,193666350,2,"Zm00001d043258;Zm00001d043259","chr3",193666185,1.19303659509769e-16
"chr3",54365050,54368550,2,"Zm00001d040621;Zm00001d040622","chr3",54365491,1.19310157291608e-16
"chr3",48562950,48587450,1,"Zm00001d040535","chr3",48587140,1.61954997682953e-16
"chr6",108201950,108273350,2,"Zm00001d036981;Zm00001d036982","chr6",108202924,2.07508459519835e-16
"chr3",124672750,124711850,1,"Zm00001d041506","chr3",124673062,2.30734636908987e-16
"chr3",125027150,125068250,2,"Zm00001d041510;Zm00001d041511","chr3",125052565,2.53660655940592e-16
"chr5",199538150,199545050,1,"Zm00001d017559","chr5",199544981,2.71999800709716e-16
"chr3",138444250,138469250,1,"Zm00001d041796","chr3",138468823,2.82235749364311e-16
"chr3",54984050,55027250,1,"Zm00001d040628","chr3",54997082,2.86153004596921e-16
"chr1",16009050,16035550,3,"Zm00001d027871;Zm00001d027872;Zm00001d027873","chr1",16016773,3.49017940735363e-16
